Name,PosX,PosY,PosZ,RotX,RotY,RotZ,ScaleX,ScaleY,ScaleZ
Floor,310,15.5,230,0,0,0,500,500,500
Floor,310,15.5,240,0,0,0,500,500,500
Floor,310,15.5,250,0,0,0,500,500,500
Floor,300,15.5,230,0,0,0,500,500,500
Floor,300,15.5,240,0,0,0,500,500,500
Floor,300,15.5,250,0,0,0,500,500,500
Floor,290,25.5,230,0,0,0,500,500,500
Floor,290,25.5,240,0,0,0,500,500,500
Floor,280,25.5,230,0,0,0,500,500,500
Floor,280,25.5,240,0,0,0,500,500,500
Floor,270,25.5,240,0,0,0,500,500,500
Floor,270,25.5,230,0,0,0,500,500,500
Floor,260,25.5,240,0,0,0,500,500,500
Floor,270,25.5,240,0,0,0,500,500,500
Floor,260,25.5,230,0,0,0,500,500,500
Floor,270,25.5,240,0,0,0,500,500,500
Floor,250,25.5,240,0,0,0,500,500,500
Floor,250,25.5,230,0,0,0,500,500,500
Floor,250,25.5,250,0,0,0,500,500,500
Floor,260,25.5,250,0,0,0,500,500,500
Floor,250,25.5,260,0,0,0,500,500,500
Floor,260,25.5,260,0,0,0,500,500,500
Floor,250,25.5,270,0,0,0,500,500,500
Floor,260,25.5,270,0,0,0,500,500,500
Floor,250,25.5,280,0,0,0,500,500,500
Floor,250,25.5,290,0,0,0,500,500,500
Floor,260,25.5,290,0,0,0,500,500,500
Floor,260,25.5,280,0,0,0,500,500,500
Floor,330,25.5,280,0,0,0,500,500,500
Floor,340,25.5,280,0,0,0,500,500,500
Floor,330,25.5,290,0,0,0,500,500,500
Floor,340,25.5,290,0,0,0,500,500,500
Floor,330,25.5,300,0,0,0,500,500,500
Floor,340,25.5,300,0,0,0,500,500,500
Floor,350,25.5,280,0,0,0,500,500,500
Floor,350,25.5,290,0,0,0,500,500,500
Floor,350,25.5,300,0,0,0,500,500,500
Goal,335,3.5,310.8,0,0,0,1,1,1
