Name,PosX,PosY,PosZ,RotX,RotY,RotZ,SizeX,SizeY,SizeZ
Floor,700,5.5,500,0,0,0,20,10,20
Floor,700,5.5,480,0,0,0,20,10,20
Floor,720,5.5,500,0,0,0,20,10,20
Floor,720,5.5,480,0,0,0,20,10,20
Floor,740,5.5,480,0,0,0,20,10,20
Floor,760,5.5,480,0,0,0,20,10,20
Floor,760,5.5,500,0,0,0,20,10,20
Floor,740,5.5,500,0,0,0,20,10,20
Floor,760,5.5,520,0,0,0,20,10,20
Floor,740,5.5,520,0,0,0,20,10,20
Soil,710,-9.5,490,0,90,0,40.00001,20,40.00001
Soil,750,-9.5,500,0,90,0,60.00001,20,40.00001
Floor,760,15.5,540,0,0,0,20,10,20
Floor,740,15.5,540,0,0,0,20,10,20
Floor,760,15.5,560,0,0,0,20,10,20
Floor,740,15.5,560,0,0,0,20,10,20
Floor,720,15.5,520,0,0,0,20,10,20
Floor,720,15.5,540,0,0,0,20,10,20
Floor,720,15.5,560,0,0,0,20,10,20
Floor,700,15.5,520,0,0,0,20,10,20
Floor,700,15.5,540,0,0,0,20,10,20
Floor,700,15.5,560,0,0,0,20,10,20
Floor,680,15.5,520,0,0,0,20,10,20
Floor,680,15.5,540,0,0,0,20,10,20
Floor,680,15.5,560,0,0,0,20,10,20
FirTree,680,29.5,560.8,0,0,0,23,17.43133,21.87431
LongMushroom,678.54,21.55,554.84,0,0,0,4.046104,2.186441,3.905378
Mushroom,679.424,20.7,553.7,0,0,0,1.588003,0.5436944,1.587665
Mushroom,676.7,20.7,554.86,0,0,0,1.905603,0.6524333,1.905198
LongMushroom,685.436,21.76,559.5,0,99.99999,0,5.057631,2.733051,4.881722
Mushroom,686.32,20.7,557.08,0,0,0,1.588003,0.5436944,1.587665
Mushroom,686.04,20.75,561.014,0,0,0,1.905603,0.6524333,1.905198
Mushroom,687.2939,20.87,558.68,0,0,0,2.382004,0.8155416,2.381498
Soil,720,-4.5,550,0,90,0,40.00001,30,100
Soil,700,-4.5,520,0,90,0,20,30,60.00001
Floor,660,25.5,520,0,0,0,20,10,20
Floor,660,25.5,540,0,0,0,20,10,20
Floor,640,25.5,520,0,0,0,20,10,20
Floor,640,25.5,540,0,0,0,20,10,20
Floor,620,25.5,520,0,0,0,20,10,20
Floor,600,25.5,540,0,0,0,20,10,20
Floor,600,25.5,520,0,0,0,20,10,20
Floor,620,25.5,540,0,0,0,20,10,20
Floor,580,25.5,540,0,0,0,20,10,20
Floor,580,25.5,520,0,0,0,20,10,20
Soil,620,0.5,530,0,90,0,40.00001,40,100
Floor,580,25.5,560,0,0,0,20,10,20
Floor,600,25.5,560,0,0,0,20,10,20
Floor,580,25.5,580,0,0,0,20,10,20
Floor,600,25.5,580,0,0,0,20,10,20
Floor,580,25.5,600,0,0,0,20,10,20
Floor,600,25.5,600,0,0,0,20,10,20
Floor,580,25.5,620,0,0,0,20,10,20
Floor,600,25.5,620,0,0,0,20,10,20
Floor,580,25.5,640,0,0,0,20,10,20
Floor,600,25.5,640,0,0,0,20,10,20
Soil,590,0.5,600,0,90,0,100,40,40.00001
Floor,740,25.5,630,0,0,0,20,10,20
Floor,760,25.5,630,0,0,0,20,10,20
Floor,740,25.5,650,0,0,0,20,10,20
Floor,760,25.5,650,0,0,0,20,10,20
Floor,740,25.5,670,0,0,0,20,10,20
Floor,760,25.5,670,0,0,0,20,10,20
Floor,780,25.5,630,0,0,0,20,10,20
Floor,780,25.5,650,0,0,0,20,10,20
Floor,780,25.5,670,0,0,0,20,10,20
Soil,760,0.5,650,0,90,0,60.00001,40,60.00001
Goal,751.06,31.41,650,0,90,0,2,2,2
FirTree,773.44,41.2,665.08,0,0,0,27.6,20.9176,26.24917
FirTree,782.52,35.75,650.1,0,0,0,13.8,10.4588,13.12459
FirTree,786.94,39.41,624.52,0,0,0,23,17.43133,21.87431
Stone,785.5,30.58,664.66,0,0,0,8.133099,2.218212,8.242631
Stone,785.5,30.58,674.94,0,120.69,0,8.133101,2.218212,8.242635
Stone,787.68,30.58,669.94,0,228.91,0,3.25324,0.8872846,3.297053
Stone,782.5,30.58,660.36,0,228.91,0,3.25324,0.8872846,3.297053
Stone,786.64,30.58,657.48,0,257.4,0,4.87986,1.330927,4.94558
LongMushroom,783.08,31.57,654.86,0,334.8,0,4.046104,2.186441,3.905378
Mushroom,780.58,30.83,653.36,0,0,0,1.588003,0.5436944,1.587665
Mushroom,780.22,31.11,656.28,0,0,0,1.588003,0.5436944,1.587665
LongMushroom,779.98,31.57,671.48,0,84.19999,0,5.05763,2.733051,4.881721
Mushroom,778.2,30.83,669.98,0,0,0,1.588003,0.5436944,1.587665
Mushroom,777.1199,31.11,674.36,0,0,0,1.905603,0.6524333,1.905198
Mushroom,776.02,31.11,672.02,0,0,0,1.905603,0.6524333,1.905198
LongMushroom,779.42,31.57,664.76,0,334.8,0,4.046104,2.186441,3.905378
Mushroom,778.54,30.83,666.62,0,0,0,1.588003,0.5436944,1.587665
Mushroom,780.68,30.83,663.28,0,0,0,1.588003,0.5436944,1.587665
Mushroom,768.26,31.98,672.28,0,0,0,11.91002,4.077708,11.90749
M_FallenTree,779.88,30.92,629.32,351.5,140,0,40,7.011369,27.79684
LongMushroom,774.4,32.835,634.634,20.73,20.9,60,2.718918,3.894757,3.660723
LongMushroom,776.58,31.853,635.2,0,0,0,3.641494,1.967797,3.51484
FallenTree,779.88,30.92,629.32,351.5,140,0,40,7.011369,27.79684
LongMushroom,774.4,32.835,634.634,20.73,20.9,60,2.718918,3.894757,3.660723
LongMushroom,776.58,31.853,635.2,0,0,0,3.641494,1.967797,3.51484
M_Mushroom,776.56,30.86,632.84,30.08,-9.866491E-07,34.44999,2.096624,1.215829,2.08237
Mushroom,776.56,30.86,632.84,30.08,-9.866491E-07,34.44999,2.096624,1.215829,2.08237
LongMushroom,767.4,31.853,625.7,0,0,23.46999,3.35269,2.279924,3.51484
Mushroom,765.46,30.88,623.06,0,0,0,2.382004,0.8155417,2.381498
Mushroom,765.96,31.37,627.44,309.81,217.3,180,1.588003,0.8645222,1.119234
